Cohort,Treatment,Biomarkers,Gene,Event,Association,Measurement,Evidence,Protein,Function,Database,Citations
Pan-Cancer,Anti-VEGF,MMP9,MMP9,Overexpression,Non-response,"RNA-seq, IHC",Medium,Enzyme (protease),"Matrix remodeling, promotes angiogenesis and resistance","TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC9667458/, https://www.mdpi.com/1422-0067/14/5/9338"
Pan-Cancer,Anti-VEGF,EGFR,EGFR,"Amplification, Mutation",Non-response,"PCR, IHC, RNA-seq",Medium,Receptor tyrosine kinase,"Activates alternative angiogenic pathways, linked to resistance","TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC9667458/, https://www.mdpi.com/1422-0067/14/5/9338"
Pan-Cancer,Anti-VEGF,PTEN,PTEN,"Deletion, Mutation",Non-response,"PCR, Sequencing",Medium,Phosphatase (enzyme),"Loss leads to PI3K/AKT activation, promotes angiogenesis and resistance","TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC9667458/, https://www.mdpi.com/1422-0067/14/5/9338"
Pan-Cancer,Aromatase inhibitor,RRM2,RRM2,Amplification,Non-response,"RNA-seq, Copy number",Medium,Enzyme,"Promotes DNA synthesis and cell proliferation, associated with AI resistance","TCGA, GEO",https://sciety.org/articles/activity/10.21203/rs.3.rs-6183643/v1
Pan-Cancer,Aromatase inhibitor,ABI3,ABI3,Downregulation,Non-response,RNA-seq,Medium,Adapter protein,"Loss linked to metastasis and poor prognosis in pan-cancer, including breast","TCGA, GEO",https://www.frontiersin.org/journals/molecular-biosciences/articles/10.3389/fmolb.2023.1277830/full
Pan-Cancer,Aromatase inhibitor,PIK3CA Mutation,PIK3CA,Mutation,Non-response,Somatic mutation analysis,Medium,Enzyme,"Activates PI3K pathway, promoting survival and AI resistance","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10328947/
Pan-Cancer,Aromatase inhibitor,GATA3,GATA3,Mutation,Response,Somatic mutation analysis,Medium,Transcription factor,"GATA3 mutations often retain luminal phenotype, associated with better AI response","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10328947/
Pan-Cancer,Aromatase inhibitor,FGFR1,FGFR1,Amplification,Non-response,"Copy number, FISH",Medium,Receptor tyrosine kinase,"FGFR1 amplification drives estrogen-independent growth, reducing AI efficacy","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10328947/
Pan-Cancer,Aromatase inhibitor,CCND1,CCND1,Amplification,Non-response,"Copy number, FISH",Medium,Cell cycle regulator,"Promotes cell cycle progression, associated with AI resistance","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10328947/
Pan-Cancer,Aromatase inhibitor,BCL2,BCL2,Overexpression,Response,"IHC, RNA-seq",Medium,Anti-apoptotic protein,High BCL2 expression linked to luminal phenotype and better AI response,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC10328947/
Pan-Cancer,Aromatase inhibitor,PR (Progesterone Receptor),PGR,Downregulation,Non-response,"IHC, RNA-seq",Medium,Nuclear receptor,Loss of PR indicates endocrine resistance,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC10328947/
Pan-Cancer,Aromatase inhibitor,CDK4/6,"CDK4, CDK6",Amplification,Non-response,"Copy number, RNA-seq",Medium,Cell cycle kinase,"Overactivity promotes proliferation, associated with AI resistance","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10328947/
Pan-Cancer,Chemotherapy,CDKN2A Loss,CDKN2A,Deletion,Non-response,"NGS, FISH",Medium,Tumor suppressor,"Loss leads to cell cycle dysregulation, chemo resistance","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10073273/
Pan-Cancer,Chemotherapy,SMAD4 Loss,SMAD4,Deletion/Mutation,Non-response,"NGS, IHC",Medium,Transcription factor,Loss associated with poor response in pancreatic and other cancers,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10073273/
Pan-Cancer,Chemotherapy,ATM Mutation,ATM,Mutation,Response,"NGS, PCR",Medium,Kinase (enzyme),DNA repair defect increases chemo sensitivity,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10073273/
Pan-Cancer,Chemotherapy,ARID1A Mutation,ARID1A,Mutation,Non-response,"NGS, PCR",Medium,Chromatin remodeler,"Loss impairs DNA repair, may affect chemo response","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10073273/
Pan-Cancer,Chemotherapy,CD3+ T-cell Infiltration,N/A,N/A,Response,"IHC, mRNA-seq",Medium,Immune cell marker,High infiltration predicts better chemo response in some cancers,"TCGA, GEO",https://www.precisionmedicineonline.com/precision-oncology/immune-biomarkers-could-predict-first-line-chemo-response-pancreatic-cancer
Pan-Cancer,Chemotherapy,CD8+ T-cell Infiltration,N/A,N/A,Response,"IHC, mRNA-seq",Medium,Immune cell marker,Cytotoxic T-cell presence linked to improved response,"TCGA, GEO",https://www.precisionmedicineonline.com/precision-oncology/immune-biomarkers-could-predict-first-line-chemo-response-pancreatic-cancer
Pan-Cancer,Chemotherapy,ERCC1 Expression,ERCC1,Amplification,Non-response,"IHC, qPCR",Medium,DNA repair enzyme,High expression linked to platinum resistance,"TCGA, GEO, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Chemotherapy,BCL2 Expression,BCL2,Amplification,Non-response,"IHC, qPCR",Medium,Anti-apoptotic,Overexpression confers resistance to apoptosis-inducing chemo,"TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Chemotherapy,TUBB3 Expression,TUBB3,Amplification,Non-response,"IHC, qPCR",Medium,Structural protein,High expression linked to taxane resistance,"TCGA, GEO",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Chemotherapy,TOP2A Amplification,TOP2A,Amplification,Response,"FISH, qPCR",Medium,Enzyme (topoisomerase),Amplification predicts anthracycline sensitivity,"TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Chemotherapy,CDKN2A,CDKN2A,Deletion/Mutation,Non-response,"NGS, PCR",Medium,Tumor suppressor,Cell cycle regulator; loss linked to poor chemo response,"TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC10073273/, https://www.binasss.sa.cr/set21/46.pdf"
Pan-Cancer,Chemotherapy,SMAD4,SMAD4,Mutation/Deletion,Non-response,"NGS, PCR",Medium,Transcription factor,TGF-β pathway; loss associated with chemoresistance in pancreatic cancer,"TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC10073273/, https://www.binasss.sa.cr/set21/46.pdf"
Pan-Cancer,Chemotherapy,ARID1A,ARID1A,Mutation,Non-response,"NGS, PCR",Medium,Chromatin remodeler,Loss linked to resistance to DNA-damaging agents,"TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC10073273/, https://www.binasss.sa.cr/set21/46.pdf"
Pan-Cancer,Chemotherapy,ATM,ATM,Mutation,Response,"NGS, PCR",Medium,DNA repair kinase,Mutations may sensitize to DNA-damaging chemo,"TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC10073273/, https://www.binasss.sa.cr/set21/46.pdf"
Pan-Cancer,Chemotherapy,CD3+ T cells,CD3E,N/A,Response,"IHC, mRNA-seq",Medium,Immune receptor,T-cell infiltration predicts better chemo response,"TCGA, GEO","https://www.precisionmedicineonline.com/precision-oncology/immune-biomarkers-could-predict-first-line-chemo-response-pancreatic-cancer, https://www.binasss.sa.cr/set21/46.pdf"
Pan-Cancer,Chemotherapy,CD8+ T cells,CD8A,N/A,Response,"IHC, mRNA-seq",Medium,Immune receptor,Cytotoxic T-cell presence linked to improved chemo response,"TCGA, GEO","https://www.precisionmedicineonline.com/precision-oncology/immune-biomarkers-could-predict-first-line-chemo-response-pancreatic-cancer, https://www.binasss.sa.cr/set21/46.pdf"
Pan-Cancer,Chemotherapy,TOP2A,TOP2A,Amplification,Response,"FISH, qPCR",Medium,DNA topoisomerase,Amplification predicts response to anthracyclines,"TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Chemotherapy,TUBB3,TUBB3,Overexpression,Non-response,"IHC, qPCR",Medium,Structural protein,High expression linked to taxane resistance,"TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Chemotherapy,CDKN2A,CDKN2A,Deletion/Mutation,Non-response,Somatic mutation/deletion (NGS),Medium,Tumor suppressor,"Loss leads to cell cycle dysregulation, chemo resistance","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10073273/
Pan-Cancer,Chemotherapy,SMAD4,SMAD4,Mutation/Deletion,Non-response,Somatic mutation/deletion (NGS),Medium,Signal transducer,"Loss impairs TGF-β signaling, linked to poor chemo response","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10073273/
Pan-Cancer,Chemotherapy,ATM,ATM,Mutation,Response,Somatic mutation (NGS),Medium,DNA repair enzyme,Deficiency may sensitize to DNA-damaging agents,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10073273/
Pan-Cancer,Chemotherapy,ARID1A,ARID1A,Mutation,Non-response,Somatic mutation (NGS),Medium,Chromatin remodeler,Loss linked to chemo resistance in some cancers,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10073273/
Pan-Cancer,Chemotherapy,CD3+ T cells,N/A,N/A,Response,"IHC, mRNA-seq",Medium,Immune cell marker,High infiltration predicts better chemo response,"TCGA, GEO",https://www.precisionmedicineonline.com/precision-oncology/immune-biomarkers-could-predict-first-line-chemo-response-pancreatic-cancer
Pan-Cancer,Chemotherapy,CD8+ T cells,N/A,N/A,Response,"IHC, mRNA-seq",Medium,Immune cell marker,Cytotoxic T cell presence linked to improved chemo response,"TCGA, GEO",https://www.precisionmedicineonline.com/precision-oncology/immune-biomarkers-could-predict-first-line-chemo-response-pancreatic-cancer
Pan-Cancer,Chemotherapy,BCL2,BCL2,Overexpression,Non-response,"IHC, RNA-seq",Medium,Anti-apoptotic protein,Overexpression inhibits chemo-induced apoptosis,"TCGA, GEO",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Chemotherapy,TOP2A,TOP2A,Amplification,Response,"FISH, RNA-seq",Medium,Enzyme (topoisomerase),Amplification predicts response to anthracyclines,"TCGA, GEO, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Chemotherapy,TUBB3,TUBB3,Overexpression,Non-response,"IHC, RNA-seq",Medium,Structural protein,High expression linked to taxane resistance,"TCGA, GEO",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Folinic acid,Folate Receptor Alpha (FRα),FOLR1,Overexpression,Response,"IHC, RNA-seq",Medium,Receptor,"High FRα enhances folate/FA uptake, improving drug delivery","TCGA, GEO",https://journals.sagepub.com/doi/10.1177/03000605231223064
Pan-Cancer,Folinic acid,Methylenetetrahydrofolate Reductase (MTHFR),MTHFR,Mutation,Non-response,"PCR, Genotyping",Medium,Enzyme,"MTHFR polymorphisms affect folate metabolism, altering FA therapy efficacy","TCGA, COSMIC",https://journals.sagepub.com/doi/10.1177/03000605231223064
Pan-Cancer,Folinic acid,Excision Repair Cross-Complementation Group 1 (ERCC1),ERCC1,Overexpression,Non-response,"IHC, RNA-seq",Medium,DNA repair enzyme,High ERCC1 linked to resistance to platinum/FA-based regimens,"TCGA, COSMIC",https://www.oncotarget.com/article/27872/text/
Pan-Cancer,Folinic acid,ATP-Binding Cassette Subfamily B Member 1 (ABCB1),ABCB1,"Amplification, Overexpression",Non-response,"RNA-seq, IHC",Medium,Transporter,"ABCB1 overexpression increases drug efflux, reducing FA/5-FU efficacy","TCGA, COSMIC",https://www.oncotarget.com/article/27872/text/
Pan-Cancer,Folinic acid,p53,TP53,Mutation,Non-response,"PCR, NGS, IHC",Medium,Tumor suppressor,TP53 mutations linked to poor response to FA/5-FU-based regimens,"TCGA, COSMIC",https://www.oncotarget.com/article/27872/text/
Pan-Cancer,Folinic acid,Glutathione S-Transferase Pi 1 (GSTP1),GSTP1,"Mutation, Overexpression",Non-response,"PCR, IHC, RNA-seq",Medium,Enzyme,GSTP1 overexpression confers resistance to FA/5-FU by detoxifying drugs,"TCGA, COSMIC",https://www.oncotarget.com/article/27872/text/
Pan-Cancer,Folinic acid,Thymidine Phosphorylase (TYMP),TYMP,Overexpression,Response,"IHC, RNA-seq",Medium,Enzyme,"High TYMP enhances 5-FU activation, improving FA/5-FU efficacy","TCGA, COSMIC",https://www.oncotarget.com/article/27872/text/
Pan-Cancer,Hormonal therapy,AR,AR,"Mutation, Amplif.",Non-response,"IHC, RNA-seq, PCR",Medium,Nuclear receptor,AR signaling can drive resistance in some hormone therapies,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Pan-Cancer,Hormonal therapy,FGFR1,FGFR1,Amplification,Non-response,"FISH, PCR, NGS",Medium,Receptor tyrosine kinase,Amplification linked to endocrine resistance,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Pan-Cancer,Hormonal therapy,CCND1,CCND1,Amplification,Non-response,"FISH, PCR, NGS",Medium,Cell cycle regulator,Amplification linked to resistance to endocrine therapy,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Pan-Cancer,Hormonal therapy,ESR1 Fusion,ESR1,Gene fusion,Non-response,"NGS, RNA-seq",Medium,Nuclear receptor,"Fusions drive ligand-independent ER activity, causing resistance","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Pan-Cancer,Hormonal therapy,AKT1,AKT1,Mutation,Non-response,"NGS, PCR",Medium,Enzyme (kinase),Activating mutations linked to resistance,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Pan-Cancer,Hormonal therapy,PTEN,PTEN,"Deletion, Mutation",Non-response,"NGS, PCR",Medium,Tumor suppressor,Loss leads to PI3K pathway activation and resistance,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Pan-Cancer,Hormonal therapy,GATA3,GATA3,Mutation,Response,"NGS, PCR",Medium,Transcription factor,Mutations may predict better response to hormonal therapy,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Pan-Cancer,Hormonal therapy,RB1,RB1,"Mutation, Deletion",Non-response,"NGS, PCR",Medium,Tumor suppressor,Loss confers resistance to CDK4/6 inhibitors in HR+ cancers,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Pan-Cancer,Hormonal therapy,BRCA1/2,BRCA1/2,"Mutation, Deletion",Response,"NGS, PCR",Medium,DNA repair enzyme,"Deficiency increases sensitivity to PARP inhibitors, affects hormonal response","TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Hormonal therapy,PTEN Loss,PTEN,"Deletion, Mutation",Non-response,"IHC, NGS",Medium,Phosphatase,"Loss leads to PI3K pathway activation, resistance to hormonal therapy","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Pan-Cancer,Hormonal therapy,FGFR1 Amplification,FGFR1,Amplification,Non-response,"FISH, NGS",Medium,Receptor tyrosine kinase,Amplification associated with endocrine resistance,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Pan-Cancer,Hormonal therapy,CCND1 Amplification,CCND1,Amplification,Non-response,"FISH, NGS",Medium,Cell cycle regulator,"Drives cell cycle progression, linked to resistance","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Pan-Cancer,Hormonal therapy,AR (Androgen Receptor),AR,Overexpression,Non-response,"IHC, RNA-seq",Medium,Nuclear receptor,"AR signaling can bypass ER pathway, leading to resistance","TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Pan-Cancer,Hormonal therapy,BCL2,BCL2,Overexpression,Response,"IHC, RNA-seq",Medium,Anti-apoptotic,High BCL2 linked to better prognosis and response,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Pan-Cancer,Hormonal therapy,CDK4/6 Pathway,CDK4/6,Amplification,Non-response,"NGS, FISH",Medium,Kinase,"Activation confers resistance, CDK4/6 inhibitors can restore sensitivity","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Pan-Cancer,Hormonal therapy,TP53 Mutation,TP53,Mutation,Non-response,"NGS, PCR",Medium,Tumor suppressor,Mutations linked to poor response to hormonal therapy,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Pan-Cancer,Immunotherapy,CTLA-4,CTLA4,"Mutation, Overexpression",Response/Non-response,"IHC, RNA-seq, NGS",Medium,Immune checkpoint receptor,Regulates T-cell activation; mutations may affect ICI efficacy,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10547938/
Pan-Cancer,Immunotherapy,LAG-3,LAG3,Overexpression,Non-response,"IHC, RNA-seq",Medium,Immune checkpoint receptor,Inhibits T-cell function; high expression linked to resistance,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10547938/
Pan-Cancer,Immunotherapy,IDO1,IDO1,Overexpression,Non-response,"IHC, RNA-seq",Medium,Enzyme,Suppresses T-cell function via tryptophan metabolism,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC10547938/
Pan-Cancer,Immunotherapy,STK11 (LKB1),STK11,"Mutation, Deletion",Non-response,"NGS, PCR",Medium,Kinase,Loss impairs immune cell infiltration and response to ICIs,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10547938/
Pan-Cancer,Immunotherapy,ALK,ALK,Rearrangement,Non-response,"FISH, NGS",Medium,Receptor tyrosine kinase,ALK fusions associated with poor response to ICIs,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10547938/
Pan-Cancer,Immunotherapy,KRAS,KRAS,Mutation,Response/Non-response,"NGS, PCR",Medium,GTPase,Certain KRAS mutations may enhance or reduce ICI efficacy,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10547938/
Pan-Cancer,Immunotherapy,TGF-β,TGFB1,Overexpression,Non-response,"IHC, RNA-seq",Medium,Cytokine,Promotes immunosuppressive tumor microenvironment,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC10547938/
Pan-Cancer,Multikinase inhibitor,MET Amplification,MET,Amplification,Response,"Copy number (FISH, NGS)",Medium,Receptor tyrosine kinase,Promotes proliferation; predicts response to MET inhibitors,"TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Multikinase inhibitor,FGFR Alteration,FGFR1-4,Mutation/Fusion,Response,Somatic Mutation/Fusion (NGS),Medium,Receptor tyrosine kinase,Drives proliferation; predicts response to FGFR inhibitors,"TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Multikinase inhibitor,PDGFRA Mutation,PDGFRA,Mutation,Response,"Somatic Mutation (PCR, NGS)",Medium,Receptor tyrosine kinase,Activates signaling; predicts response to PDGFRA inhibitors,"TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Multikinase inhibitor,VEGFA Overexpression,VEGFA,Overexpression,Response,"RNA-seq, IHC",Medium,Growth factor,Promotes angiogenesis; predicts response to anti-angiogenic therapies,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC9169228/
Pan-Cancer,Platinum,PALB2,PALB2,Mutation,Response,Somatic/germline sequencing,Medium,DNA repair partner,Works with BRCA2 in HR; loss increases platinum sensitivity,"TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC8928350/, https://www.frontiersin.org/journals/surgery/articles/10.3389/fsurg.2022.866173/full"
Pan-Cancer,Platinum,ATM,ATM,Mutation,Response,Somatic/germline sequencing,Medium,Kinase,"DDR kinase; loss impairs DNA repair, increasing platinum response","TCGA, COSMIC",https://www.frontiersin.org/journals/surgery/articles/10.3389/fsurg.2022.866173/full
Pan-Cancer,Platinum,CHEK2,CHEK2,Mutation,Response,Somatic/germline sequencing,Medium,Kinase,DDR checkpoint kinase; loss may sensitize to platinum,"TCGA, COSMIC",https://www.frontiersin.org/journals/surgery/articles/10.3389/fsurg.2022.866173/full
Pan-Cancer,Platinum,RAD51,RAD51,Mutation,Response,Somatic/germline sequencing,Medium,DNA repair enzyme,Central to HR; loss increases platinum sensitivity,"TCGA, COSMIC",https://www.frontiersin.org/journals/surgery/articles/10.3389/fsurg.2022.866173/full
Pan-Cancer,Platinum,ERCC4,ERCC4,Mutation,Response,Somatic/germline sequencing,Medium,DNA repair enzyme,Nucleotide excision repair; loss may sensitize to platinum,"TCGA, COSMIC",https://www.frontiersin.org/journals/surgery/articles/10.3389/fsurg.2022.866173/full
Pan-Cancer,Platinum,FANCA,FANCA,Mutation,Response,Somatic/germline sequencing,Medium,DNA repair enzyme,Fanconi anemia pathway; loss increases platinum sensitivity,"TCGA, COSMIC",https://www.frontiersin.org/journals/surgery/articles/10.3389/fsurg.2022.866173/full
Pan-Cancer,Platinum,MLH1,MLH1,"Mutation, Methylation",Response,"Methylation-specific PCR, sequencing",Medium,DNA mismatch repair,"Deficiency impairs DNA repair, increasing platinum sensitivity","TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Platinum,MSH2,MSH2,Mutation,Response,Somatic/germline sequencing,Medium,DNA mismatch repair,"Loss impairs repair, increasing platinum sensitivity","TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Platinum,BCL2,BCL2,Overexpression,Non-response,"RNA-seq, IHC",Medium,Anti-apoptotic protein,"Overexpression inhibits apoptosis, conferring platinum resistance","TCGA, GEO",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Platinum,CCNE1,CCNE1,Amplification,Non-response,Copy number analysis,Medium,Cell cycle regulator,"Amplification drives cell cycle, associated with platinum resistance","TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Platinum,SLFN11,SLFN11,Expression loss,Non-response,"RNA-seq, IHC",Medium,DNA/RNA helicase,"Loss of expression linked to resistance to DNA-damaging agents, including platinum","TCGA, GEO",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Platinum,PALB2,PALB2,Mutation,Response,"Somatic/germline mutation testing (NGS, PCR)",Medium,DNA repair scaffold,Facilitates BRCA2 function in DNA repair; loss increases platinum sensitivity,"TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC8928350/, https://www.frontiersin.org/journals/surgery/articles/10.3389/fsurg.2022.866173/full"
Pan-Cancer,Platinum,ATM,ATM,Mutation,Response,"Somatic/germline mutation testing (NGS, PCR)",Medium,Kinase (DDR),"Senses DNA damage; loss impairs repair, increasing platinum sensitivity","TCGA, COSMIC",https://www.frontiersin.org/journals/surgery/articles/10.3389/fsurg.2022.866173/full
Pan-Cancer,Platinum,CHEK2,CHEK2,Mutation,Response,"Somatic/germline mutation testing (NGS, PCR)",Medium,Kinase (DDR),"DNA damage checkpoint; loss impairs repair, increasing platinum sensitivity","TCGA, COSMIC",https://www.frontiersin.org/journals/surgery/articles/10.3389/fsurg.2022.866173/full
Pan-Cancer,Platinum,RAD51,RAD51,"Mutation, Disruption",Response,Somatic mutation testing (NGS),Medium,DNA repair enzyme,Central to homologous recombination; loss increases platinum sensitivity,"TCGA, COSMIC",https://www.frontiersin.org/journals/surgery/articles/10.3389/fsurg.2022.866173/full
Pan-Cancer,Platinum,MLH1,MLH1,"Mutation, Methylation",Response,"Methylation-specific PCR, IHC, NGS",Medium,DNA mismatch repair,"Deficiency increases DNA damage, sensitizing to platinum","TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Platinum,FANCA,FANCA,Mutation,Response,"Somatic/germline mutation testing (NGS, PCR)",Medium,DNA repair enzyme,Fanconi anemia pathway; loss increases platinum sensitivity,"TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC8928350/, https://www.frontiersin.org/journals/surgery/articles/10.3389/fsurg.2022.866173/full"
Pan-Cancer,Platinum,TP53,TP53,Mutation,Non-response,Somatic mutation testing (NGS),Medium,Tumor suppressor,"Loss impairs apoptosis, may confer resistance to DNA-damaging agents","TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Platinum,MSH2,MSH2,"Mutation, Deletion",Response,"Somatic/germline mutation testing (NGS, PCR)",Medium,DNA mismatch repair,"Deficiency increases DNA damage, sensitizing to platinum","TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Platinum,SLFN11,SLFN11,Low expression,Non-response,"RNA-seq, qPCR, IHC",Medium,DNA/RNA helicase,"Low expression linked to resistance to DNA-damaging agents, including platinum","TCGA, GEO",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Pyrimidine (ant)agonist,Orotate Phosphoribosyltransferase,UMPS,"Mutation, Deletion",Response,"RNA-seq, PCR",Medium,Enzyme,Activates 5-FU prodrug; loss reduces efficacy,"TCGA, COSMIC",https://research.rug.nl/files/2914175/thesis.pdf
Pan-Cancer,Pyrimidine (ant)agonist,Methylenetetrahydrofolate Reductase,MTHFR,Polymorphism,"Non-response, Toxicity","Germline SNP, PCR",Medium,Enzyme,"Alters folate metabolism, affecting 5-FU efficacy and toxicity","PharmGKB, TCGA",https://research.rug.nl/files/2914175/thesis.pdf
Pan-Cancer,Pyrimidine (ant)agonist,Thymidine Phosphorylase,TYMP,Overexpression,Response,"RNA-seq, IHC",Medium,Enzyme,Activates capecitabine and 5-FU; higher levels improve drug activation,TCGA,https://research.rug.nl/files/2914175/thesis.pdf
Pan-Cancer,Pyrimidine (ant)agonist,Dihydroorotate Dehydrogenase,DHODH,"Mutation, Overexpression",Non-response,"RNA-seq, PCR",Medium,Enzyme,Key in de novo pyrimidine synthesis; inhibition sensitizes tumors,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC8194085/
Pan-Cancer,Pyrimidine (ant)agonist,ABCG2 (BCRP),ABCG2,Overexpression,Non-response,"RNA-seq, IHC, PCR",Medium,Transporter,"Effluxes pyrimidine antagonists, mediates multidrug resistance","TCGA, COSMIC",https://www.uspharmacist.com/article/pharmacogenomic-biomarkers-for-toxicities-associated-with-chemotherapy
Pan-Cancer,Pyrimidine (ant)agonist,P-glycoprotein (MDR1),ABCB1,Overexpression,Non-response,"RNA-seq, IHC, PCR",Medium,Transporter,"Pumps out drugs, including pyrimidine antagonists, leading to resistance","TCGA, COSMIC",https://www.uspharmacist.com/article/pharmacogenomic-biomarkers-for-toxicities-associated-with-chemotherapy
Pan-Cancer,Pyrimidine (ant)agonist,MRP1 (ABCC1),ABCC1,Overexpression,Non-response,"RNA-seq, IHC, PCR",Medium,Transporter,"Multidrug resistance protein, effluxes pyrimidine antagonists","TCGA, COSMIC",https://www.uspharmacist.com/article/pharmacogenomic-biomarkers-for-toxicities-associated-with-chemotherapy
Pan-Cancer,Targeted therapy,MET amplification,MET,Amplification,Response,"FISH, NGS",Medium,Receptor tyrosine kinase,Promotes proliferation; predicts response to MET inhibitors,"TCGA, COSMIC",https://pubmed.ncbi.nlm.nih.gov/34373099/
